162563,543,6/11/2015,-65.5,2203.72,D,ROB,IN,CD
162564,543,7/11/2015,-65.5,1683.69,D,ROB,IN,CD
162565,543,8/11/2015,-65.5,1609.67,D,ROB,IN,CD
162566,543,9/11/2015,-65.5,1783.51,D,ROB,IN,CD
162567,543,10/11/2015,-65.5,2009.89,D,ROB,IN,CD
162568,543,11/11/2015,-65.5,1976.97,D,ROB,IN,CD
162569,543,12/11/2015,-65.5,1751.08,D,ROB,IN,CD
162570,543,1/11/2016,-65.5,1724.53,D,ROB,IN,CD
162571,543,2/11/2016,-65.5,1342.82,D,ROB,IN,CD
162572,543,3/11/2016,-65.5,1767.76,D,ROB,IN,CD
162573,543,4/11/2016,-65.5,1648.96,D,ROB,IN,CD
162574,543,5/11/2016,-65.5,1953.96,D,ROB,IN,CD
162575,543,6/11/2016,-65.5,1770.67,D,ROB,IN,CD
162576,543,7/11/2016,-65.5,1676.58,D,ROB,IN,CD
162577,543,8/11/2016,-65.5,1439.18,D,ROB,IN,CD
162578,543,9/11/2016,-65.5,1494.05,D,ROB,IN,CD
162579,543,10/11/2016,-65.5,1139.27,D,ROB,IN,CD
162580,543,11/11/2016,-65.5,1242.91,D,ROB,IN,CD
162581,543,12/11/2016,-65.5,1106.52,D,ROB,IN,CD
162582,543,1/11/2017,-65.5,1432.46,D,ROB,IN,CD
162583,543,2/11/2017,-65.5,1146.79,D,ROB,IN,CD
162584,543,3/11/2017,-65.5,1590.99,D,ROB,IN,CD
162585,543,4/11/2017,-65.5,1504.2,D,ROB,IN,CD
162586,543,5/11/2017,-65.5,1248.52,D,ROB,IN,CD
162587,543,6/11/2017,-65.5,1673.19,D,ROB,IN,CD
162588,543,7/11/2017,-65.5,1318.36,D,ROB,IN,CD
162589,543,8/11/2017,-65.5,1453.73,D,ROB,IN,CD
162590,543,9/11/2017,-65.5,1217.79,D,ROB,IN,CD
162591,543,10/11/2017,-65.5,1171.22,D,ROB,IN,CD
162592,543,11/11/2017,-65.5,1254.81,D,ROB,IN,CD
162593,543,12/11/2017,-65.5,1218.39,D,ROB,IN,CD
162594,543,1/11/2018,-65.5,1243.11,D,ROB,IN,CD
162595,543,2/11/2018,-65.5,1183.81,D,ROB,IN,CD
162596,543,3/11/2018,-65.5,1307.47,D,ROB,IN,CD
162597,543,4/11/2018,-65.5,1431.93,D,ROB,IN,CD
162598,543,5/11/2018,-65.5,1556.9,D,ROB,IN,CD
162599,543,6/11/2018,-65.5,1547.28,D,ROB,IN,CD
162600,543,7/11/2018,-65.5,1258.49,D,ROB,IN,CD
